move_id,event_date,effective_date,move_type,player_id,from_team_id,to_team_id,transaction_detail,source,nfl_season,season_phase,phase_week,nfl_week,ingested_at
ofs_2022_01_00085,2022-09-08,2022-09-08,free_agency,HerrJu00,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00086,2022-09-08,2022-09-08,free_agency,ButlMa02,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00087,2022-09-08,2022-09-08,free_agency,FarrNe00,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00088,2022-09-08,2022-09-08,free_agency,Ya-SRo00,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00089,2022-09-08,2022-09-08,free_agency,MunfTh00,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00090,2022-09-08,2022-09-08,free_agency,ChanTy01,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00091,2022-09-08,2022-09-08,free_agency,WhitZa01,,LV,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00092,2022-09-08,2022-09-08,free_agency,ChubBr00,,MIA,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00093,2022-09-08,2022-09-08,free_agency,WilsJe01,,MIA,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00094,2022-09-08,2022-09-08,free_agency,HillTy00,,MIA,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00095,2022-09-08,2022-09-08,free_agency,EvanAk00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00097,2022-09-08,2022-09-08,free_agency,OtomEs00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00098,2022-09-08,2022-09-08,free_agency,ReagJa00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00100,2022-09-08,2022-09-08,free_agency,CineLe00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00101,2022-09-08,2022-09-08,free_agency,FarrNe00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00102,2022-09-08,2022-09-08,free_agency,MullNi00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00103,2022-09-08,2022-09-08,free_agency,MuseNi00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00104,2022-09-08,2022-09-08,free_agency,BlacRo00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00105,2022-09-08,2022-09-08,free_agency,HockTJ00,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00106,2022-09-08,2022-09-08,free_agency,ChanTy01,,MIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00107,2022-09-08,2022-09-08,free_agency,ZappBa00,,NE,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00108,2022-09-08,2022-09-08,free_agency,StraCo01,,NE,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00109,2022-09-08,2022-09-08,free_agency,ParkDe01,,NE,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00110,2022-09-08,2022-09-08,free_agency,WilsMa03,,NE,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00111,2022-09-08,2022-09-08,free_agency,OlavCh00,,NO,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00112,2022-09-08,2022-09-08,free_agency,DotsJa00,,NO,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00113,2022-09-08,2022-09-08,free_agency,PennTr00,,NO,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00114,2022-09-08,2022-09-08,free_agency,RobiJa00,,NYJ,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00115,2022-09-08,2022-09-08,free_agency,JohnJe07,,NYJ,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00116,2022-09-08,2022-09-08,free_agency,BrowAJ00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00117,2022-09-08,2022-09-08,free_agency,GardCh00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00118,2022-09-08,2022-09-08,free_agency,CalcGr00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00119,2022-09-08,2022-09-08,free_agency,DaviJo03,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00120,2022-09-08,2022-09-08,free_agency,JohnKy02,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00121,2022-09-08,2022-09-08,free_agency,RodrMa00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00122,2022-09-08,2022-09-08,free_agency,QuinRo00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00123,2022-09-08,2022-09-08,free_agency,BurkTr00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00124,2022-09-08,2022-09-08,free_agency,AmadUg00,,PHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00125,2022-09-08,2022-09-08,free_agency,DaviJe00,,PIT,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00126,2022-09-08,2022-09-08,free_agency,ReedMa01,,PIT,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00127,2022-09-08,2022-09-08,free_agency,JackWi02,,PIT,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
